pl_name,pl_bmasse,pl_rade,pl_eqt,st_teff,sy_dist
Kepler-1167 b,3.57,1.71,1419.0,4971.0,820.905
Kepler-1740 b,11.0,3.32321414,858.0,5705.0,1061.77
Kepler-1581 b,0.437,0.8,1108.0,6022.0,493.175
Kepler-644 b,10.1,3.15,1655.0,6747.0,1318.05
Kepler-1752 b,18.7,4.54060463,419.0,5446.0,962.888
Kepler-280 c,4.7,2.01,1088.0,5744.0,780.361
Kepler-1208 b,5.99,2.32,665.0,5001.0,825.176
Kepler-263 c,6.66,2.47,386.0,5265.0,754.747
Kepler-1101 b,6.66,2.47,393.0,5614.0,742.473
HD 168746 b,85.8141,11.1,900.0,5570.0,41.5681
TOI-2406 b,15.6,2.86,449.0,3100.0,55.419
HD 18599 b,24.1,2.6,863.0,5145.0,38.5653
Kepler-560 b,3.61,1.72,298.0,3556.0,109.308
Kepler-150 d,8.2,2.79,734.0,5560.0,891.092
Kepler-498 b,9.43,3.03,931.0,5744.0,938.844
Kepler-817 b,60.2,9.03,1124.0,5861.0,1484.46
Kepler-937 b,13.4,3.72,495.0,6095.0,1571.46
K2-10 b,25.2,3.773,649.0,5533.0,272.36
Kepler-571 b,7.46,2.64,978.0,5527.0,723.875
Kepler-1458 b,8.05,2.76,493.0,5653.0,544.45
Kepler-1600 c,4.43,1.94206512,786.0,5119.0,1030.81
Kepler-221 d,3.61,2.73,712.0,5243.0,385.231
Kepler-626 b,5.86,2.29,784.0,5813.0,635.643
Kepler-1549 b,7.13,2.57,286.0,5324.0,803.052
K2-62 c,4.62,1.99,495.0,4455.0,112.467
Kepler-1149 b,2.67,1.44,1128.0,5833.0,1217.73
Kepler-1288 b,1.46,1.12,2017.0,6132.0,814.078
Kepler-128 b,3.79,1.421,968.0,6072.0,396.379
Kepler-1245 b,2.67,1.44,1043.0,5306.0,805.936
Kepler-1068 b,12.8,3.63,702.0,5806.0,1473.61
Kepler-150 e,9.91,3.12,544.0,5560.0,891.092
Kepler-272 c,97.8,1.79,947.0,5297.0,889.608
Kepler-152 c,6.3,2.39,326.0,5088.0,441.09
Kepler-1506 b,2.3,1.32,783.0,5676.0,2366.02
CoRoT-3 b,6883.91,11.32,1695.0,6740.0,768.771
HD 205739 b,435.41,13.6,,6176.0,92.5087
HD 224693 b,222.481,14.0,,5894.0,93.5015
HD 16417 b,22.1,5.0,,5841.0,25.3936
HD 19994 b,435.41,13.6,,6188.0,22.5242
GJ 179 b,301.93698665,13.8,,3370.0,12.356
GQ Lup b,6356.0,33.6,2650.0,4360.0,151.169
HD 37605 b,854.9627,13.2,,5329.0,46.7864
HD 33283 b,104.56607,12.5,,5935.0,89.8623
HD 9446 b,222.472,14.0,,5793.0,50.3503
HD 134987 c,260.0,13.9,,5585.0,26.1804
HD 110014 b,3524.59,12.4,,4445.0,100.758
HD 79498 b,425.8922,13.6,,5748.0,48.9489
HD 45652 b,137.62039,14.3,,5294.0,34.8541
HIP 79431 b,667.415,13.4,,3191.0,14.5324
GJ 876 b,723.2235,13.3,,3293.74,4.67517
HD 86226 b,143.0235,14.3,176.0,5863.0,45.683
HD 47186 c,111.42,13.0,,5657.0,37.4574
HD 148156 b,270.144,13.9,,6308.0,57.1289
HD 86226 c,7.25,2.16,1311.0,5863.0,45.683
HIP 14810 c,416.3573,13.6,,5544.0,50.48
HIP 14810 b,1239.537,13.0,,5544.0,50.48
GJ 876 d,6.83,2.51,,3293.74,4.67517
GJ 876 e,14.6,3.92,,3293.74,4.67517
gam1 Leo b,2790.43,12.5,,4330.0,39.8883
HD 156411 b,235.18,14.0,,5900.0,56.8655
HD 8535 b,216.1244,14.0,,6136.0,55.4401
HD 37605 c,1013.8777,13.1,,5329.0,46.7864
HD 1605 c,1150.5446,13.0,,4915.0,88.8047
BD+20 2457 b,6807.63,12.1,,4137.0,1539.71
HD 240210 b,1655.82,12.8,,4297.0,372.405
CoRoT-17 b,772.29,11.43,1626.0,5740.0,1176.12
HD 132563 b,473.547,13.6,,6289.0,105.155
HD 55696 b,1357.12729789,12.9,,6012.0,77.9693
HD 148164 b,390.9309,13.7,,6032.0,77.1971
24 Sex c,273.32,13.9,,5098.0,72.0691
HD 22781 b,4338.2,12.3,,5027.0,32.6034
HD 148164 c,1640.0028,12.8,,6032.0,77.1971
HD 90156 b,17.98,4.43,,5599.0,21.9496
HD 45350 b,568.89,13.5,,5566.0,46.8733
MOA-2009-BLG-266L b,10.4,3.21,,,3040.0
Kepler-595 c,3.3,1.009,679.0,5138.5,643.009
Kepler-595 b,17.4,3.708,535.0,5138.5,643.009
HD 177830 c,47.6725,7.87,,4949.0,62.7674
OGLE-TR-111 b,174.799,11.421971,1019.0,5040.0,1068.33
PSR B1257+12 b,0.02,0.338,,,600.0
PSR B1257+12 d,3.9,1.8,,,600.0
HD 21749 c,3.7,0.892,701.0,4640.0,16.32
CoRoT-18 b,1102.82,14.68,1550.0,5440.0,764.889
Kepler-45 b,160.497,10.76,1000.0,3820.0,381.949
WASP-23 b,280.95,10.783,1076.55,5150.0,207.49
HD 107148 b,66.741,9.6,,5797.0,49.4156
SWEEPS-11 b,3082.82,12.666,,,8500.0
OGLE-TR-211 b,327.351,15.244,1686.0,6325.0,1515.26
Lupus-TR-3 b,257.431,9.976,,5000.0,773.409
OGLE-2005-BLG-390L b,5.5,2.21,50.0,,6600.0
HN Peg b,6991.57,11.7768,,6186.0,18.1186
MOA-2009-BLG-387L b,830.0,13.2,,,5690.0
GJ 674 b,11.09,3.33,,3600.0,4.54896
CoRoT-11 b,740.51,16.03,1657.0,6440.0,655.037
2MASS J04414489+2301513 b,2383.6,12.6,,2936.0,120.42398696
GJ 3634 b,8.4,2.83,,3517.0,20.3779
CoRoT-13 b,415.704,9.92,1700.0,5945.0,1148.93
OGLE-TR-10 b,197.046,14.011,1702.0,5950.0,1344.97
HD 27442 b,495.8,13.5,,4846.0,18.2704
GJ 3021 b,1071.04,13.1,350.0,5540.0,17.5559
CoRoT-8 b,69.92,6.39,870.0,5080.0,322.037
Kepler-18 c,17.3,5.49,899.0,5345.0,433.047
Kepler-18 b,6.9,2.0,1165.0,5345.0,433.047
HD 46375 b,71.8,10.0,,5285.0,29.5529
HD 221287 b,982.05,13.1,,6304.0,55.9231
HD 33564 b,2892.1,12.5,,6250.0,20.9531
HD 189733 b,359.1479,12.66617,1209.0,5052.0,19.7638
Kepler-4 b,24.472,4.002,1650.0,5857.0,487.916
WASP-38 b,1093.3352,13.78707,1250.0,6180.0,136.24
Kepler-30 c,640.0,12.3,411.0,5498.0,914.221
HAT-P-41 b,378.2177,22.97845,1941.0,6390.0,348.185
HIP 41378 b,9.06,2.419,970.67,6371.0,106.289
HIP 41378 c,6.53,2.505,765.87,6371.0,106.289
HIP 41378 d,4.6,3.54,367.0,6320.0,106.289
HIP 41378 e,12.0,4.92,335.0,6320.0,106.289
HIP 41378 f,12.0,9.2,294.0,6226.0,106.289
HD 106315 b,12.6,2.44,1153.0,6327.0,109.353
HD 106315 c,15.2,4.35,886.0,6327.0,109.353
LTT 1445 A b,2.73,1.34,431.0,3562.0,6.86929
LTT 1445 A c,1.54,1.147,508.0,3340.0,6.86929
HIP 41378 g,6.81,2.5,605.0,6371.0,106.289
Kepler-18 d,16.4,6.98,720.0,5345.0,433.047
HAT-P-37 b,371.528,13.204,1271.0,5500.0,390.594
HD 129445 b,797.74930157,13.3,,5646.0,67.4386
Kepler-419 c,2320.1,12.6,,6430.0,1011.36
HD 70573 b,1900.0,12.8,,5737.0,59.182
HD 47536 b,2330.0,12.6,,4380.0,122.536
WASP-67 b,136.6669,12.89035,1003.0,5200.0,189.469
CoRoT-14 b,2415.4,12.22,1952.0,6035.0,1744.6
MOA-2008-BLG-310L b,23.4,5.18,,,7700.0
Kepler-419 b,794.5,10.8,613.0,6430.0,1011.36
WASP-43 b,565.714,10.424,1426.7,4400.0,86.7467
HD 11964 c,25.0,5.38,,5303.0,33.5369
CoRoT-6 b,940.74,13.068,1017.0,6090.0,645.294
WASP-31 b,151.916,17.363,1423.7,6302.0,383.829
HD 108236 f,4.72,2.017,,5660.0,64.5978
Kepler-59 c,3.81,1.98,752.0,6074.0,1163.22
WASP-8 c,3003.37,12.5,,5690.0,89.9606
HD 154857 c,819.97,13.2,,5605.0,63.4482
KOI-217 b,,12.442,1046.0,5545.0,914.699
Kepler-416 b,58.2,2.48,986.0,5718.0,690.819
Kepler-37 e,8.1,0.37,401.0,5288.0,63.9207
HAT-P-22 b,785.0401,12.89035,1463.0,5302.0,81.7647
CHXR 73 b,3994.486,12.3,,3099.0,190.374
FU Tau b,5085.28,12.2,2375.0,2838.0,133.4950466
GJ 667 C b,5.68,2.25,,3350.0,7.24396
HD 187123 b,166.218,14.2,,5790.0,45.9548
HAT-P-18 b,62.61,11.153,852.0,4803.0,161.4
Kepler-59 b,4.1,1.1,864.0,6074.0,1163.22
Kepler-53 b,111.0,2.89,701.0,5858.0,1366.07
HD 82943 c,622.603,13.4,,5935.0,27.5902
HD 82943 b,534.25,13.5,,5935.0,27.5902
UZ For b,2002.2,,,5286.9,239.60387482
